"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"17","FH:""jika para pejabat itu merasa perlu berbisnis seolah program pemerintah bs gagal &amp; tdk terlaksana,sungguh tdk bi… https://t.co/Vdp6o42dkA",FALSE,0,NA,2021-11-20 22:51:21,TRUE,NA,"1462191866577756162",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","neen4noor",0,FALSE,FALSE,NA,NA
"18","RT @mulanbilqis: Erick Thohir mengatakan, awal pandemi usaha pemerintah untuk mendapat vaksin sangat keras, yaitu dengan melobi banyak nega…",FALSE,0,NA,2021-11-20 21:44:40,FALSE,NA,"1462175084462759940",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kang_pantau",23,TRUE,FALSE,NA,NA
"19","RT @mulanbilqis: Erick Thohir mengatakan, awal pandemi usaha pemerintah untuk mendapat vaksin sangat keras, yaitu dengan melobi banyak nega…",FALSE,0,NA,2021-11-20 15:38:41,FALSE,NA,"1462082978914312192",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MustBee17",23,TRUE,FALSE,NA,NA
"20","RT @mulanbilqis: Erick Thohir mengatakan, awal pandemi usaha pemerintah untuk mendapat vaksin sangat keras, yaitu dengan melobi banyak nega…",FALSE,0,NA,2021-11-20 14:05:11,FALSE,NA,"1462059449099579392",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","native0228",23,TRUE,FALSE,NA,NA
"21","RT @mulanbilqis: Erick Thohir mengatakan, awal pandemi usaha pemerintah untuk mendapat vaksin sangat keras, yaitu dengan melobi banyak nega…",FALSE,0,NA,2021-11-20 14:04:38,FALSE,NA,"1462059313866821632",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","silverQ28",23,TRUE,FALSE,NA,NA
"22","RT @mulanbilqis: Erick Thohir mengatakan, awal pandemi usaha pemerintah untuk mendapat vaksin sangat keras, yaitu dengan melobi banyak nega…",FALSE,0,NA,2021-11-20 14:02:52,FALSE,NA,"1462058865957085185",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","eliets_",23,TRUE,FALSE,NA,NA
"23","@AdhieMassardi Sudah beda jamannya, dulu pembangunan tidak sedahsyat ini, jadi wajar kalau pemerintah dulu tidak bi… https://t.co/s1MVgMkken",FALSE,0,"AdhieMassardi",2021-11-20 13:27:36,TRUE,"1461907936494510082","1462049993745842179","62854021","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Sudimawan1",0,FALSE,FALSE,NA,NA
"24","RT @mulanbilqis: Erick Thohir mengatakan, awal pandemi usaha pemerintah untuk mendapat vaksin sangat keras, yaitu dengan melobi banyak nega…",FALSE,0,NA,2021-11-20 13:04:31,FALSE,NA,"1462044184987115522",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","seruanhl",23,TRUE,FALSE,NA,NA
"25","RT @mulanbilqis: Erick Thohir mengatakan, awal pandemi usaha pemerintah untuk mendapat vaksin sangat keras, yaitu dengan melobi banyak nega…",FALSE,0,NA,2021-11-20 12:58:28,FALSE,NA,"1462042662949699589",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","twuicei",23,TRUE,FALSE,NA,NA
"26","RT @mulanbilqis: Erick Thohir mengatakan, awal pandemi usaha pemerintah untuk mendapat vaksin sangat keras, yaitu dengan melobi banyak nega…",FALSE,0,NA,2021-11-20 11:49:22,FALSE,NA,"1462025270924222464",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AnakLolina2",23,TRUE,FALSE,NA,NA
"27","RT @mulanbilqis: Erick Thohir mengatakan, awal pandemi usaha pemerintah untuk mendapat vaksin sangat keras, yaitu dengan melobi banyak nega…",FALSE,0,NA,2021-11-20 11:39:45,FALSE,NA,"1462022850433351682",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Dew0W1snu",23,TRUE,FALSE,NA,NA
"28","RT @mulanbilqis: Erick Thohir mengatakan, awal pandemi usaha pemerintah untuk mendapat vaksin sangat keras, yaitu dengan melobi banyak nega…",FALSE,0,NA,2021-11-20 11:28:20,FALSE,NA,"1462019979830652932",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","willona_007",23,TRUE,FALSE,NA,NA
"29","RT @mulanbilqis: Erick Thohir mengatakan, awal pandemi usaha pemerintah untuk mendapat vaksin sangat keras, yaitu dengan melobi banyak nega…",FALSE,0,NA,2021-11-20 11:27:07,FALSE,NA,"1462019673130557442",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","farrel27",23,TRUE,FALSE,NA,NA
"30","RT @mulanbilqis: Erick Thohir mengatakan, awal pandemi usaha pemerintah untuk mendapat vaksin sangat keras, yaitu dengan melobi banyak nega…",FALSE,0,NA,2021-11-20 11:08:37,FALSE,NA,"1462015018392702981",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Boyzneboyzone",23,TRUE,FALSE,NA,NA
"31","RT @mulanbilqis: Erick Thohir mengatakan, awal pandemi usaha pemerintah untuk mendapat vaksin sangat keras, yaitu dengan melobi banyak nega…",FALSE,0,NA,2021-11-20 11:03:45,FALSE,NA,"1462013790082330624",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","p3juangNKRI",23,TRUE,FALSE,NA,NA
"32","RT @mulanbilqis: Erick Thohir mengatakan, awal pandemi usaha pemerintah untuk mendapat vaksin sangat keras, yaitu dengan melobi banyak nega…",FALSE,0,NA,2021-11-20 10:58:46,FALSE,NA,"1462012536832675841",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","chaterine_8",23,TRUE,FALSE,NA,NA
"33","RT @mulanbilqis: Erick Thohir mengatakan, awal pandemi usaha pemerintah untuk mendapat vaksin sangat keras, yaitu dengan melobi banyak nega…",FALSE,0,NA,2021-11-20 10:55:39,FALSE,NA,"1462011751713566722",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","terbucinz",23,TRUE,FALSE,NA,NA
"34","RT @mulanbilqis: Erick Thohir mengatakan, awal pandemi usaha pemerintah untuk mendapat vaksin sangat keras, yaitu dengan melobi banyak nega…",FALSE,0,NA,2021-11-20 10:54:18,FALSE,NA,"1462011412943835139",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TA_K3N",23,TRUE,FALSE,NA,NA
"35","RT @mulanbilqis: Erick Thohir mengatakan, awal pandemi usaha pemerintah untuk mendapat vaksin sangat keras, yaitu dengan melobi banyak nega…",FALSE,0,NA,2021-11-20 10:40:00,FALSE,NA,"1462007813689933826",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ArisWila",23,TRUE,FALSE,NA,NA
"36","RT @mulanbilqis: Erick Thohir mengatakan, awal pandemi usaha pemerintah untuk mendapat vaksin sangat keras, yaitu dengan melobi banyak nega…",FALSE,0,NA,2021-11-20 10:36:44,FALSE,NA,"1462006991488831488",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CryptoKuta",23,TRUE,FALSE,NA,NA
"37","RT @mulanbilqis: Erick Thohir mengatakan, awal pandemi usaha pemerintah untuk mendapat vaksin sangat keras, yaitu dengan melobi banyak nega…",FALSE,0,NA,2021-11-20 10:18:29,FALSE,NA,"1462002399367688198",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","denni_sauya",23,TRUE,FALSE,NA,NA
"38","Erick Thohir mengatakan, awal pandemi usaha pemerintah untuk mendapat vaksin sangat keras, yaitu dengan melobi bany… https://t.co/gNEB8uFAJL",FALSE,31,NA,2021-11-20 10:15:48,TRUE,NA,"1462001724869152774",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","mulanbilqis",23,FALSE,FALSE,NA,NA
"39","RT @bachrum_achmadi: Yg korupsi pejabat, yg bisnis PCR pejabat, yg bikin gaduh pejabat, yg gagal sejahterakan rakyat pemerintah.

Tp yg kle…",FALSE,0,NA,2021-11-20 03:54:30,FALSE,NA,"1461905767317995527",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","1MenujuDamai",441,TRUE,FALSE,NA,NA
"40","@msaid_didu Makin ruwet. Pengusaha masuk politik dan mjd pejabat pemerintah. Mereka yg buat aturan dan mereka yg be… https://t.co/j0rQ9Lyj3p",FALSE,2,"msaid_didu",2021-11-20 03:19:35,TRUE,"1461894047199477760","1461896982193065984","1117990249806721024","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","lontepolitik",0,FALSE,FALSE,NA,NA
"41","RADIKALISME / RADIKAL &amp; INTOLERAN &amp; TERORIS yg sebenarnya adalah:

1. pemerintah pusat +oligarki yg terlibat skanda… https://t.co/g1fYQpQMDm",FALSE,0,NA,2021-11-20 01:52:18,TRUE,NA,"1461875015335374850",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Syahridomo75",0,FALSE,FALSE,NA,NA
"42","RT @bachrum_achmadi: Yg korupsi pejabat, yg bisnis PCR pejabat, yg bikin gaduh pejabat, yg gagal sejahterakan rakyat pemerintah.

Tp yg kle…",FALSE,0,NA,2021-11-19 23:12:17,FALSE,NA,"1461834744388153344",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AnHan38693318",441,TRUE,FALSE,NA,NA
"43","RT @bachrum_achmadi: Yg korupsi pejabat, yg bisnis PCR pejabat, yg bikin gaduh pejabat, yg gagal sejahterakan rakyat pemerintah.

Tp yg kle…",FALSE,0,NA,2021-11-19 22:37:00,FALSE,NA,"1461825867542261760",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Hadisuwondo5",441,TRUE,FALSE,NA,NA
"44","RT @bachrum_achmadi: Yg korupsi pejabat, yg bisnis PCR pejabat, yg bikin gaduh pejabat, yg gagal sejahterakan rakyat pemerintah.

Tp yg kle…",FALSE,0,NA,2021-11-19 20:58:35,FALSE,NA,"1461801099829121028",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","antoakrim1",441,TRUE,FALSE,NA,NA
"45","RT @bachrum_achmadi: Yg korupsi pejabat, yg bisnis PCR pejabat, yg bikin gaduh pejabat, yg gagal sejahterakan rakyat pemerintah.

Tp yg kle…",FALSE,0,NA,2021-11-19 19:06:25,FALSE,NA,"1461772871835869184",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","oemaykeano",441,TRUE,FALSE,NA,NA
"46","RT @bachrum_achmadi: Yg korupsi pejabat, yg bisnis PCR pejabat, yg bikin gaduh pejabat, yg gagal sejahterakan rakyat pemerintah.

Tp yg kle…",FALSE,0,NA,2021-11-19 17:11:49,FALSE,NA,"1461744032359407618",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AnchalaShin",441,TRUE,FALSE,NA,NA
"47","RT @bachrum_achmadi: Yg korupsi pejabat, yg bisnis PCR pejabat, yg bikin gaduh pejabat, yg gagal sejahterakan rakyat pemerintah.

Tp yg kle…",FALSE,0,NA,2021-11-19 15:58:47,FALSE,NA,"1461725649312227335",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SofyanSaid6",441,TRUE,FALSE,NA,NA
"48","RT @bachrum_achmadi: Yg korupsi pejabat, yg bisnis PCR pejabat, yg bikin gaduh pejabat, yg gagal sejahterakan rakyat pemerintah.

Tp yg kle…",FALSE,0,NA,2021-11-19 15:56:17,FALSE,NA,"1461725022255411205",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","anaksetia7",441,TRUE,FALSE,NA,NA
